inventor_id,name,country
1,Marco Johnson,UK
2,Klaus Chen,UK
3,Pierre Davis,South Korea
4,Thomas Chen,Japan
5,Lisa Wilson,Japan
6,Robert Smith,China
7,Patricia Mueller,France
8,Thomas Moore,Canada
9,Sarah Taylor,Japan
10,Charles Chen,Germany
11,James Mueller,Switzerland
12,David Rossi,Netherlands
13,Thomas Wilson,UK
14,Wei Tanaka,Netherlands
15,Marco Martinez,USA
16,William Miller,Switzerland
17,Robert Schmidt,USA
18,Robert Rodriguez,Switzerland
19,Thomas Garcia,Switzerland
20,Wei Wilson,Netherlands
21,Joseph Durand,Switzerland
22,Richard Mueller,Japan
23,James Williams,USA
24,Wei Durand,Canada
25,Richard Chen,China
26,Richard Garcia,France
27,Charles Davis,Netherlands
28,Ahmad Mueller,South Korea
29,Charles Smith,USA
30,Joseph Schmidt,USA
31,Lisa Taylor,Netherlands
32,Klaus Moore,Switzerland
33,John Rodriguez,USA
34,Thomas Smith,China
35,Richard Johnson,Germany
36,Patricia Rodriguez,South Korea
37,Sarah Mueller,China
38,Michael Brown,China
39,Sarah Miller,Netherlands
40,Klaus Brown,USA
41,Lisa Williams,Switzerland
42,Marco Mueller,Switzerland
43,Hans Garcia,Canada
44,James Jones,Canada
45,Charles Rodriguez,USA
46,Klaus Mueller,Japan
47,James Brown,Netherlands
48,David Miller,China
49,Klaus Jones,Germany
50,Thomas Taylor,France
51,James Martinez,Netherlands
52,Wei Rossi,Switzerland
53,John Durand,China
54,James Davis,UK
55,Wei Garcia,Canada
56,Thomas Rossi,Switzerland
57,Charles Schmidt,Japan
58,Sarah Kim,Germany
59,Wei Miller,France
60,Joseph Taylor,UK
61,Patricia Durand,USA
62,Joseph Miller,Japan
63,Thomas Mueller,Canada
64,Richard Williams,UK
65,Michael Taylor,South Korea
66,Thomas Miller,China
67,John Rossi,Japan
68,Klaus Davis,Switzerland
69,Charles Durand,Canada
70,Klaus Schmidt,Switzerland
71,Thomas Brown,Switzerland
72,Joseph Smith,USA
73,Klaus Taylor,Germany
74,Marco Smith,Netherlands
75,Klaus Miller,China
76,John Mueller,Germany
77,John Jones,Netherlands
78,Sarah Tanaka,South Korea
